title,company,ratings,reviews,experience,salary,location,days_posted,tags,job_simp,post,salary_mentioned,reviews_int,min_experience,max_experience,avg_experience,days_posted_int,bangalore,delhi,kolkata,mumbai,remote,gurgaon,hyderabad,noida,pune,python,sql,deep_learning,big_data,r,nlp,sas,git,tensorflow,pytorch,tableau,power_bi,apache,c++
Associate Data Scientist - ML & NLP,Gartner India Research &amp; Advisory Services Pvt Ltd,4.1,184 Reviews,2-4 Yrs,Not disclosed,Gurgaon/Gurugram,30+ Days Ago, ml development management management development analytics engagement medical text analytics,data scientist,junior,0,184,2,4,3.0,30,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Scientist - Digital Enterprise,Maruti Suzuki,4.2,6087 Reviews,3-6 Yrs,Not disclosed,Gurgaon/Gurugram,30+ Days Ago, sql management machine learning digital python data technical time managements,data scientist,na,0,6087,3,6,4.5,30,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
Data Scientist,Gujarat Fluorochemicals,4.2,661 Reviews,1-2 Yrs,Not disclosed,Noida,30+ Days Ago, c++ management social media data coding business solutions pmp predictive,data scientist,na,0,661,1,2,1.5,30,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Sr.Data Scientist,Comviva Technology,3.6,346 Reviews,1-3 Yrs,Not disclosed,Gurgaon/Gurugram,30+ Days Ago, regression python logistics monitoring extraction model development collections data extraction,data scientist,senior,0,346,1,3,2.0,30,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Scientist,Comviva Technology,3.6,346 Reviews,1-3 Yrs,Not disclosed,Gurgaon/Gurugram,30+ Days Ago, python collections analytical analytics model development data monitoring data extraction,data scientist,na,0,346,1,3,2.0,30,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Lead Assistant Manager,EXL,3.9,5532 Reviews,0-4 Yrs,Not disclosed,Ahmedabad,4 Days Ago, python data science forecasting management monitoring science machine learning rf,manager,senior,0,5532,0,4,2.0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Sr. Data Scientist,Accolite Software India Pvt Ltd,3.8,387 Reviews,6-8 Yrs,Not disclosed,"Hyderabad/Secunderabad, Bangalore/Bengaluru",30+ Days Ago, machine research analytics business rules sql data machine learning python,data scientist,senior,0,387,6,8,7.0,30,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Innovation Digital Data Products & Insights Lead Data Scientist,Wells Fargo,4.2,3753 Reviews,5-7 Yrs,Not disclosed,Hyderabad/Secunderabad,Just Now, Data Scientist insights digital machine statistical modeling modeling innovation processing,data scientist,senior,0,3753,5,7,6.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Data Scientist - Statistics Background,Tech Mahindra,3.7,22823 Reviews,6-11 Yrs,Not disclosed,Hybrid - Hyderabad/Secunderabad,Few Hours Ago, data modeling data visualization sql Python statistics modeling data,data scientist,na,0,22823,6,11,8.5,7,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Data Scientist,Tata nexarc,3.4,22 Reviews,3-6 Yrs,Not disclosed,"Mumbai, Pune",30+ Days Ago, data business intelligence data science machine sql data mining intelligence analytics,data scientist,na,0,22,3,6,4.5,30,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Data Scientist II,Uber,4.2,591 Reviews,1-5 Yrs,Not disclosed,Bangalore/Bengaluru,18 Days Ago, machine learning data customer support backend processing engineering design machine languages,data scientist,na,0,591,1,5,3.0,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Physicist / Scientist,Applied Materials,4.2,231 Reviews,4-7 Yrs,Not disclosed,Bangalore/Bengaluru,20 Days Ago, python research analysis design analysis research engineering c++ matlab,na,na,0,231,4,7,5.5,20,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Lead Artificial Intelligence Specialist,Baker Hughes,4.2,322 Reviews,5-10 Yrs,Not disclosed,Bangalore/Bengaluru,28 Days Ago, data collection maintenance predictive maintenance data mining intelligence artificial intelligence technology management management,na,senior,0,322,5,10,7.5,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lead data scientist,Siemens,4.2,5086 Reviews,8-10 Yrs,Not disclosed,Bangalore/Bengaluru,28 Days Ago, management computer vision technology c++ analytics deep learning analytical,data scientist,senior,0,5086,8,10,9.0,28,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Senior Manager-Data Science,AMERICAN EXPRESS,4.4,2040 Reviews,4-7 Yrs,Not disclosed,Bangalore/Bengaluru,30 Days Ago, formulation natural language processing senior risk management data modeling finance analytics management,manager,senior,0,2040,4,7,5.5,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Data Scientist Staff,Juniper Networks,4.3,212 Reviews,4-8 Yrs,Not disclosed,Bangalore/Bengaluru,30+ Days Ago, management data mining supply chain analytics business intelligence supply sql analytical,data scientist,na,0,212,4,8,6.0,30,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Data Scientist,Applied Materials,4.2,231 Reviews,4-7 Yrs,Not disclosed,Bangalore/Bengaluru,30+ Days Ago, data programming big data deep learning data science aws machine collections,data scientist,na,0,231,4,7,5.5,30,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
FTE - Regional BI - Data Scientist,Schneider Electric,4.2,4188 Reviews,3-5 Yrs,Not disclosed,Bangalore/Bengaluru,30+ Days Ago, warehouse neural networks sql big data computer data sap oracle,data scientist,na,0,4188,3,5,4.0,30,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Senior Investment Risk Specialist - Data Science,Wells Fargo,4.2,3753 Reviews,4-10 Yrs,Not disclosed,Bangalore/Bengaluru,30+ Days Ago, management quantitative research research matlab risk data financial analysis investment,na,senior,0,3753,4,10,7.0,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MACHINE LEARNING / DATA SCIENCE TRAINER,Ethnotech Academy,3.2,10 Reviews,2-5 Yrs,Not disclosed,Bangalore/Bengaluru,30+ Days Ago, subject coding machine tableau analytics data science machine learning,mle,na,0,10,2,5,3.5,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Senior Data Engineer,Boston Consulting Group,4.0,161 Reviews,4-6 Yrs,Not disclosed,Bangalore/Bengaluru,30+ Days Ago, data engineering technology management analytical analytics technology consulting monitoring advanced analytics,data engineer,senior,0,161,4,6,5.0,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Engineer,Boston Consulting Group,4.0,161 Reviews,2-4 Yrs,Not disclosed,Bangalore/Bengaluru,30+ Days Ago, advanced analytics subject matter expertise data analytics data big data technical packaging subject,data engineer,na,0,161,2,4,3.0,30,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Tableau,Schneider Electric,4.2,4188 Reviews,3-6 Yrs,Not disclosed,Bangalore/Bengaluru,30+ Days Ago, python data analytics business intelligence intelligence relationship machine tableau analytics,na,na,0,4188,3,6,4.5,30,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Staff Data Analyst,Walmart,4.2,14310 Reviews,10-14 Yrs,Not disclosed,Bangalore/Bengaluru,30+ Days Ago, consulting data mining technology business intelligence analytics sql data analysis analytical,analyst,na,0,14310,10,14,12.0,30,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Staff Data Scientist,Baker Hughes,4.2,322 Reviews,10-15 Yrs,Not disclosed,"Mumbai, Hyderabad/Secunderabad",30+ Days Ago, analysis computer management machine learning python data science advanced analytics,data scientist,na,0,322,10,15,12.5,30,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Sr Data Scientist,Caterpillar Inc,4.3,932 Reviews,1-10 Yrs,Not disclosed,Bangalore/Bengaluru,30+ Days Ago, machine learning data asset management telematics machine asset management sql,data scientist,senior,0,932,1,10,5.5,30,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"SR. SPECIALIST, DATA ANALYTICS",AT&T,4.3,315 Reviews,5-10 Yrs,Not disclosed,Bangalore/Bengaluru,21 Days Ago, sql data modeling technology sr predictive sales operations analysis information technology,na,senior,0,315,5,10,7.5,21,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Consultant- Data Scientist,Grant Thornton,3.9,468 Reviews,2-6 Yrs,Not disclosed,Bangalore/Bengaluru,30+ Days Ago, management consulting procurement sybase client management supply chain oracle monitoring,data scientist,na,0,468,2,6,4.0,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical Expert - AI & Industrial Data Science,Siemens,4.2,5086 Reviews,5-10 Yrs,Not disclosed,Bangalore/Bengaluru,30+ Days Ago, python data science science pharmaceutical industrial formulation thermodynamics process,na,na,0,5086,5,10,7.5,30,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Scientist/Sr. Data Scientist,Synechron,4.2,1621 Reviews,5-10 Yrs,Not disclosed,Bangalore/Bengaluru,30+ Days Ago, python data science bfsi health science machine learning sr data mining,data scientist,senior,0,1621,5,10,7.5,30,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Supply Chain Specialist Staff,Juniper Networks,4.3,212 Reviews,7-11 Yrs,Not disclosed,Bangalore/Bengaluru,30+ Days Ago, data mining machine supply chain intelligence analytics sql computer science data,na,na,0,212,7,11,9.0,30,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Technical Expert - Industrial Data Science,Siemens,4.2,5086 Reviews,5-10 Yrs,Not disclosed,Bangalore/Bengaluru,30+ Days Ago, data mining machine research intelligence forecasting management artificial intelligence data,na,na,0,5086,5,10,7.5,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Scientist,TERAFIN INFOTECH PRIVATE LIMITED,4.6,4 Reviews,2-5 Yrs,3-7 Lacs PA,Chennai,1 Day Ago, Artificial Intelligence machine learning algorithms data science random forest finance r machine learning algorithms,data scientist,na,1,4,2,5,3.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Data Science & AI Specialist,BT,4.2,2657 Reviews,3-5 Yrs,Not disclosed,Gurgaon/Gurugram,3 Days Ago, Data Science gcp management computation languages data analysis artificial intelligence machine learning,na,na,0,2657,3,5,4.0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Scientist,Transformative Learning Solutions,3.5,16 Reviews,2-4 Yrs,Not disclosed,Gurgaon/Gurugram,3 Days Ago, python r modeling management data wrangling analysis statistical modeling data management,data scientist,na,0,16,2,4,3.0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Senior AI Engieer,Digit Insurance,3.9,341 Reviews,5-7 Yrs,Not disclosed,Bangalore/Bengaluru,30+ Days Ago, python management backend machine learning processing analysis process intelligence,na,senior,0,341,5,7,6.0,30,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Software Engineer Staff,Juniper Networks,4.3,212 Reviews,3-8 Yrs,Not disclosed,Bangalore/Bengaluru,30+ Days Ago, data collection analysis coding machine management data science data analysis,na,na,0,212,3,8,5.5,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Scientist / AI-ML Engineer,Hitachi Ltd.,4.0,5134 Reviews,3-7 Yrs,Not disclosed,Bangalore/Bengaluru,30+ Days Ago, programming python mathematics c financial services neural networks business analytics program,data scientist,na,0,5134,3,7,5.0,30,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Program Manager, Analytics",Uber,4.2,591 Reviews,3-7 Yrs,Not disclosed,Bangalore/Bengaluru,30+ Days Ago, management health data mining public health program management project management analytics relationship,manager,na,0,591,3,7,5.0,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Scientist - 2,24 7 ai,3.6,1923 Reviews,1-3 Yrs,Not disclosed,Bangalore/Bengaluru,30+ Days Ago, intelligence linguistics development data natural language processing languages new product development machine learning,data scientist,na,0,1923,1,3,2.0,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Data Science Relations Manager,Wells Fargo,4.2,3753 Reviews,5-8 Yrs,Not disclosed,Bangalore/Bengaluru,30+ Days Ago, monitoring operations machine management data management relationship technical documentation data science,manager,na,0,3753,5,8,6.5,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Associate - Data Scientist Ops,TransOrg,2.1,23 Reviews,0-2 Yrs,Not disclosed,Gurgaon/Gurugram,17 Days Ago, Data Scientist huggingface sql github ops data machine learning machine,data scientist,junior,0,23,0,2,1.0,17,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Research Scientist - Bioinformatics,Biopeople India,4.0,5 Reviews,0-2 Yrs,Not disclosed,Gurgaon/Gurugram,20 Days Ago, linux data research data science biology pharmaceutical jira bioinformatics,na,na,0,5,0,2,1.0,20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Scientist / Sr . Data Scientist,Aidash Systems,3.2,8 Reviews,0-3 Yrs,Not disclosed,Gurgaon/Gurugram,30+ Days Ago, sr computer management machine learning data processing python data intelligence,data scientist,senior,0,8,0,3,1.5,30,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Job Opening Data Scientist(Agri) @ GlobalData (Hyd),Globaldata,3.9,336 Reviews,1-3 Yrs,Not disclosed,Hybrid - Hyderabad/Secunderabad(Kondapur),4 Days Ago, power bi sql Data Science R Python pivot bi consulting,data scientist,na,0,336,1,3,2.0,4,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0
Walkin Interviews For Data Scientist on 17th March (Friday)@ GD(Hyd),Globaldata,3.9,336 Reviews,1-3 Yrs,Not disclosed,Hybrid - Hyderabad/Secunderabad(Kondapur),4 Days Ago, python data analysis natural language processing data science machine learning extraction languages classification,data scientist,na,0,336,1,3,2.0,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Senior Software Engineer - Data Science,Paytm,3.7,4707 Reviews,5-8 Yrs,Not disclosed,Pune,10 Days Ago, scala machine usage data structures processing data science computer vision,na,senior,0,4707,5,8,6.5,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Scientist,IBM,4.2,15996 Reviews,8-13 Yrs,Not disclosed,Mumbai,21 Days Ago, Operations research Coding Econometrics Stakeholder management Open source gcp open research,data scientist,na,0,15996,8,13,10.5,21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Team Lead/Consultant-Data Science,Accenture,4.1,34218 Reviews,7-11 Yrs,Not disclosed,Mumbai,28 Days Ago, Publishing Consulting Data mining Analytics SQL python team modeling,na,senior,0,34218,7,11,9.0,28,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Manager, Data Science",Mondelez,4.6,18 Reviews,6-11 Yrs,Not disclosed,Mumbai,30+ Days Ago, data management data science packaging data management sql javascript c++,manager,na,0,18,6,11,8.5,30,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Data Scientist,SVKMs Narsee Monjee Institute of Management Studies - NMIMS,4.2,8 Reviews,2-7 Yrs,Not disclosed,Mumbai,30+ Days Ago, sql machine learning research python data design patterns sas predictive,data scientist,na,0,8,2,7,4.5,30,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
Principal AI Scientist,Pristine Infotech,4.2,5 Reviews,3-7 Yrs,Not disclosed,"Mumbai, Chennai",30+ Days Ago, analysis sql computer research logistic regression rf business planning business analysis,na,senior,0,5,3,7,5.0,30,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Senior Data Scientist,S&P Global,4.3,1117 Reviews,4-7 Yrs,Not disclosed,Mumbai,30+ Days Ago, management analytical sql analysis risk monitoring analytics data analysis,data scientist,senior,0,1117,4,7,5.5,30,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Senior Data Scientist,Mondelez,4.6,18 Reviews,2-5 Yrs,Not disclosed,"Mumbai, Thane",30+ Days Ago, metadata Linux data science spark Data modeling Master data management data visualization Data mining,data scientist,senior,0,18,2,5,3.5,30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ML Workflow Engineering Manager,Pfizer,4.2,2327 Reviews,5-8 Yrs,Not disclosed,Mumbai,30+ Days Ago, sql engineering management management engineering machine learning python product engineering analytics,mle,na,0,2327,5,8,6.5,30,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Industrialized Assets Product Lead,Pfizer,4.2,2327 Reviews,7-12 Yrs,Not disclosed,Mumbai,30+ Days Ago, analysis sql industrial management engineering python product design business analysis,na,senior,0,2327,7,12,9.5,30,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Data Scientist - II,General Mills,4.4,504 Reviews,3-5 Yrs,Not disclosed,Mumbai,30+ Days Ago, supply analytical business operations intelligence analysis automation information technology logistics,data scientist,na,0,504,3,5,4.0,30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Scientist,Abbott,4.1,4341 Reviews,5-6 Yrs,Not disclosed,Mumbai,30+ Days Ago, sql machine learning python data design patterns medical devices sas data mining,data scientist,na,0,4341,5,6,5.5,30,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
Opportunity | Data Scientist | Tavant,Tavant Technologies,4.1,383 Reviews,6-9 Yrs,Not disclosed,Bangalore/Bengaluru,13 Days Ago, python machine learning machine data aws,data scientist,na,0,383,6,9,7.5,13,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ASE/SE/SSE-Data Science,Bold Technology Systems,3.9,102 Reviews,2-7 Yrs,"50,000-3 Lacs PA",Noida,10 Days Ago, Machine Learning Python SQL django data science ma machine,na,na,1,102,2,7,4.5,10,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Data Scientist Manager,P&G,4.2,1554 Reviews,7-12 Yrs,Not disclosed,"Vijayawada, Visakhapatnam, Guntur, Nellore",7 Days Ago, sas python process control management data analysis process data management,data scientist,na,0,1554,7,12,9.5,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Ezeiatech Systems - Data Scientist - Python/Machine Learning,EzeiaTech,4.4,26 Reviews,2-4 Yrs,Not disclosed,Gurgaon/Gurugram,13 Days Ago, Python natural language processing system data data science intelligence machine learning machine,data scientist,na,0,26,2,4,3.0,13,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"Phd -Interns, Data Scientist",Western Digital,4.3,74 Reviews,0-2 Yrs,Not disclosed,Bangalore/Bengaluru,11 Days Ago, rtos embedded systems data mining analytics system architecture data science vxworks,data scientist,na,0,74,0,2,1.0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Scientist,Torcai Digital Media,3.3,14 Reviews,2-7 Yrs,Not disclosed,"Dehradun, Hyderabad/Secunderabad, Gurgaon/Gurugram",30+ Days Ago, analysis shell scripting calculus data science mentoring data analysis linux,data scientist,na,0,14,2,7,4.5,30,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lead Data Scientist - Computer Vision,Michelin,4.0,490 Reviews,3-7 Yrs,Not disclosed,Pune,18 Days Ago, computer data computer vision deep learning management machine architecture training,data scientist,senior,0,490,3,7,5.0,18,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Data Scientist,Bajaj Finance,4.1,4654 Reviews,6-11 Yrs,8-15 Lacs PA,Pune(Viman Nagar),20 Days Ago, Risk Analytics forest sql stream analytics risk analytics data time,data scientist,na,1,4654,6,11,8.5,20,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Data Scientist,Siemens,4.2,5086 Reviews,3-7 Yrs,Not disclosed,Pune,30+ Days Ago, python business intelligence intelligence data mining machine analytics data html,data scientist,na,0,5086,3,7,5.0,30,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Manager - B2C Underwriting,Bajaj Finserv Ltd.,3.4,40 Reviews,1-3 Yrs,Not disclosed,Pune,18 Days Ago, underwriting software testing tools data logistic regression regression management logistics,manager,na,0,40,1,3,2.0,18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manager Data Scientist,Michelin,4.0,490 Reviews,4-8 Yrs,Not disclosed,Pune,30+ Days Ago, management deployment data collection programming training networking data data science,data scientist,na,0,490,4,8,6.0,30,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manager Data Science,Merck Sharp & Dohme (MSD),4.0,215 Reviews,4-7 Yrs,Not disclosed,Pune,30+ Days Ago, sql management machine learning python cvs claims science data,manager,na,0,215,4,7,5.5,30,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Senior Manager Data Science,Merck Sharp & Dohme (MSD),4.0,215 Reviews,5-9 Yrs,Not disclosed,Pune,30+ Days Ago, sql management machine learning python cvs claims science data,manager,senior,0,215,5,9,7.0,30,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Cloud Data Engineer (Innovation),Deutsche Bank,4.2,2208 Reviews,2-6 Yrs,Not disclosed,Pune,30+ Days Ago, sql machine learning python machine open source business transformation development cloud,data engineer,na,0,2208,2,6,4.0,30,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Data Scientist,Reliance Retail,4.1,18127 Reviews,7-12 Yrs,Not disclosed,Navi Mumbai,14 Days Ago, python data mining predictive analytics machine learning machine analytics data predictive,data scientist,na,0,18127,7,12,9.5,14,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Scientist,Financial Software Systems(FSS),3.9,400 Reviews,2-3 Yrs,Not disclosed,"Kolkata, Mumbai, Chennai, Bangalore/Bengaluru",30+ Days Ago, data modeling financial services data warehousing deep learning sql agile finance modeling,data scientist,na,0,400,2,3,2.5,30,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Senior Data Scientist,Here Technologies,4.0,1070 Reviews,2-7 Yrs,Not disclosed,Mumbai,10 Days Ago, analysis continuous integration machine analytics data science data analysis computer vision,data scientist,senior,0,1070,2,7,4.5,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Scientist - All Levels,Jai-kisan,4.0,80 Reviews,1-6 Yrs,Not disclosed,Bangalore/Bengaluru,30+ Days Ago, regression python logistics media private equity financial services san advertising,data scientist,na,0,80,1,6,3.5,30,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Science Developer,Neo Credence Consultancy,2.3,2 Reviews,1-3 Yrs,Not disclosed,Bangalore/Bengaluru,30+ Days Ago, improvement agile methodology multivariate analysis analysis development data agile git,na,na,0,2,1,3,2.0,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Data Scientist || Walk-In || 5th-6th Jan,SEW Engineering,4.2,53 Reviews,3-8 Yrs,5-15 Lacs PA,Hybrid - Noida(Sector-62 Noida),18 Days Ago, python Azure Power Bi Natural Language Processing Data Science msbi tableau bi,data scientist,na,1,53,3,8,5.5,18,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0
nlp engineers,Disha Consultants,4.6,2 Reviews,8-12 Yrs,Not disclosed,Bangalore/Bengaluru,30+ Days Ago, gcp computer computer science logistic regression regression logistics text analytics machine,na,na,0,2,8,12,10.0,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senior Specialist - Data Science,Fidelity International,4.3,329 Reviews,5-10 Yrs,Not disclosed,Gurgaon/Gurugram,21 Days Ago, Data Science science design analysis senior analysis snowflake sql artificial intelligence,na,senior,0,329,5,10,7.5,21,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SQL Server Developer :: MNC :: Health Care :: Noida :: Immediate,Vserve Digital Solutions,4.1,28 Reviews,2-7 Yrs,3-8 Lacs PA,"Noida(Sector-2 Noida), New Delhi, Delhi / NCR",21 Days Ago, sql server development server side development health sql development sql healthcare development serv,na,na,1,28,2,7,4.5,21,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Lead Data Scientist,Yulu,4.1,10 Reviews,1-2 Yrs,Not disclosed,Bangalore/Bengaluru,30+ Days Ago, data collection data mining machine data networking programming simulation statistics,data scientist,senior,0,10,1,2,1.5,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lead Data Scientist,Srijan Technologies Pvt. Ltd.,4.5,56 Reviews,6-10 Yrs,Not disclosed,Gurgaon/Gurugram,25 Days Ago, coding machine analytics prototype data debugging cloud computing machine learning,data scientist,senior,0,56,6,10,8.0,25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sr. Data Scientist,CPA Global,4.0,165 Reviews,6-7 Yrs,Not disclosed,Bangalore/Bengaluru,30+ Days Ago, data processing property data management business intelligence data management pharmaceutical sql,data scientist,senior,0,165,6,7,6.5,30,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Data Scientist,Adani Group,4.0,647 Reviews,2-7 Yrs,Not disclosed,Kolkata(Salt Lake),14 Days Ago, python neural networks lstm pytorch deep learning natural language processing data networking,data scientist,na,0,647,2,7,4.5,14,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0
Senior Cloud Engineer - Data Scientist,Hanu Software Solutions Pvt Ltd,3.7,108 Reviews,2-7 Yrs,Not disclosed,"Noida, Greater Noida",30+ Days Ago, analysis sql machine learning data processing python machine data mining data structures,data scientist,senior,0,108,2,7,4.5,30,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
